Tempo(s)	Deformao(mm)	Fora(N)
17,450 	1,7363 	7134,8 
17,600 	1,7512 	7141,2 
17,750 	1,7663 	7147,6 
17,900 	1,7813 	7154,1 
18,050 	1,7963 	7160,5 
18,200 	1,8114 	7170,1 
18,350 	1,8264 	7173,3 
18,500 	1,8414 	7182,9 
18,650 	1,8565 	7192,5 
18,800 	1,8715 	7198,9 
18,950 	1,8864 	7211,8 
19,100 	1,9014 	7218,2 
19,250 	1,9163 	7224,6 
19,400 	1,9313 	7237,4 
19,550 	1,9463 	7240,6 
19,717 	1,9631 	7243,8 
19,883 	1,9798 	7256,6 
20,050 	1,9963 	7263,0 
20,217 	2,0130 	7269,4 
20,383 	2,0298 	7279,1 
20,550 	2,0464 	7288,7 
20,717 	2,0630 	7295,1 
20,883 	2,0798 	7304,7 
21,050 	2,0963 	7311,1 
21,217 	2,1130 	7320,7 
21,383 	2,1299 	7323,9 
21,567 	2,1479 	7340,0 
21,733 	2,1647 	7343,2 
21,917 	2,1830 	7352,8 
22,100 	2,2014 	7362,4 
22,283 	2,2197 	7368,8 
22,467 	2,2382 	7378,4 
22,650 	2,2562 	7388,0 
22,833 	2,2747 	7397,7 
23,017 	2,2930 	7407,3 
23,200 	2,3114 	7416,9 
23,383 	2,3298 	7420,1 
23,567 	2,3481 	7432,9 
23,750 	2,3664 	7439,3 
23,950 	2,3863 	7448,9 
24,150 	2,4062 	7461,8 
24,350 	2,4263 	7471,4 
24,550 	2,4465 	7477,8 
24,750 	2,4664 	7487,4 
24,950 	2,4862 	7493,8 
25,150 	2,5063 	7509,8 
25,350 	2,5265 	7513,0 
25,550 	2,5465 	7522,7 
25,750 	2,5664 	7529,1 
25,967 	2,5880 	7541,9 
26,183 	2,6098 	7548,3 
26,400 	2,6314 	7561,1 
26,617 	2,6531 	7570,7 
26,833 	2,6747 	7580,4 
27,050 	2,6964 	7590,0 
27,267 	2,7181 	7599,6 
27,483 	2,7398 	7606,0 
27,700 	2,7614 	7618,8 
27,917 	2,7832 	7628,4 
28,133 	2,8048 	7638,0 
28,367 	2,8282 	7650,9 
28,600 	2,8513 	7663,7 
28,833 	2,8746 	7670,1 
29,067 	2,8981 	7679,7 
29,300 	2,9214 	7692,5 
29,533 	2,9446 	7705,4 
29,767 	2,9679 	7718,2 
30,000 	2,9914 	7718,2 
30,233 	3,0148 	7731,0 
30,483 	3,0397 	7740,6 
30,733 	3,0648 	7753,4 
30,983 	3,0896 	7763,1 
31,233 	3,1148 	7775,9 
31,483 	3,1395 	7791,9 
31,733 	3,1648 	7795,1 
31,983 	3,1897 	7807,9 
32,233 	3,2148 	7814,3 
32,500 	3,2412 	7830,4 
32,750 	3,2665 	7840,0 
33,017 	3,2930 	7849,6 
33,283 	3,3197 	7865,6 
33,550 	3,3465 	7872,0 
33,817 	3,3731 	7888,1 
34,083 	3,3996 	7900,9 
34,350 	3,4264 	7907,3 
34,617 	3,4532 	7916,9 
34,900 	3,4814 	7929,7 
35,183 	3,5098 	7939,3 
35,467 	3,5381 	7955,4 
35,750 	3,5663 	7961,8 
36,033 	3,5946 	7977,8 
36,317 	3,6230 	7990,6 
36,600 	3,6513 	8000,2 
36,900 	3,6814 	8009,9 
37,200 	3,7115 	8022,7 
37,500 	3,7415 	8035,5 
37,800 	3,7715 	8048,3 
38,100 	3,8013 	8064,3 
38,400 	3,8313 	8077,2 
38,700 	3,8614 	8083,6 
39,017 	3,8930 	8099,6 
39,333 	3,9246 	8112,4 
39,650 	3,9565 	8122,0 
39,967 	3,9880 	8138,1 
40,283 	4,0197 	8150,9 
40,600 	4,0515 	8160,5 
40,933 	4,0847 	8173,3 
41,267 	4,1180 	8182,9 
41,600 	4,1514 	8199,0 
41,933 	4,1847 	8211,8 
42,267 	4,2179 	8224,6 
42,600 	4,2515 	8234,2 
42,950 	4,2865 	8247,0 
43,300 	4,3213 	8263,1 
43,650 	4,3563 	8275,9 
44,000 	4,3912 	8288,7 
44,350 	4,4263 	8298,3 
44,700 	4,4615 	8311,1 
45,050 	4,4965 	8327,2 
45,417 	4,5332 	8336,8 
45,783 	4,5698 	8349,6 
46,150 	4,6063 	8365,6 
46,517 	4,6430 	8375,2 
46,883 	4,6796 	8388,1 
47,250 	4,7163 	8400,9 
47,633 	4,7548 	8413,7 
48,017 	4,7930 	8426,5 
48,400 	4,8313 	8439,4 
48,783 	4,8698 	8452,2 
49,167 	4,9080 	8465,0 
49,567 	4,9481 	8474,6 
49,967 	4,9880 	8487,4 
50,367 	5,0282 	8500,3 
50,767 	5,0680 	8509,9 
51,167 	5,1082 	8522,7 
51,583 	5,1499 	8538,7 
52,000 	5,1913 	8551,5 
52,417 	5,2329 	8567,6 
52,833 	5,2747 	8580,4 
53,250 	5,3164 	8590,0 
53,667 	5,3581 	8602,8 
54,100 	5,4015 	8615,6 
54,533 	5,4448 	8628,5 
54,967 	5,4881 	8638,1 
55,400 	5,5314 	8650,9 
55,833 	5,5748 	8663,7 
56,283 	5,6196 	8676,5 
56,733 	5,6645 	8686,2 
57,183 	5,7097 	8695,8 
57,633 	5,7548 	8705,4 
58,083 	5,7998 	8718,2 
58,550 	5,8465 	8724,6 
59,017 	5,8931 	8737,4 
59,483 	5,9397 	8750,3 
59,950 	5,9864 	8763,1 
60,433 	6,0348 	8772,7 
60,917 	6,0830 	8785,5 
61,400 	6,1313 	8798,3 
61,883 	6,1798 	8804,7 
62,367 	6,2280 	8811,2 
62,867 	6,2781 	8820,8 
63,367 	6,3280 	8833,6 
63,867 	6,3780 	8843,2 
64,367 	6,4280 	8856,0 
64,867 	6,4779 	8865,6 
65,367 	6,5279 	8872,1 
65,867 	6,5780 	8881,7 
66,367 	6,6279 	8888,1 
66,867 	6,6779 	8900,9 
67,367 	6,7280 	8907,3 
67,867 	6,7780 	8916,9 
68,367 	6,8280 	8926,5 
68,867 	6,8781 	8929,8 
69,367 	6,9282 	8929,8 
69,867 	6,9782 	8942,6 
70,367 	7,0281 	8949,0 
70,867 	7,0782 	8958,6 
71,367 	7,1281 	8965,0 
71,867 	7,1781 	8968,2 
72,367 	7,2282 	8971,4 
72,867 	7,2780 	8977,8 
73,367 	7,3280 	8984,2 
73,867 	7,3780 	8993,9 
74,367 	7,4279 	9000,3 
74,867 	7,4780 	9003,5 
75,367 	7,5280 	9006,7 
75,867 	7,5779 	9006,7 
76,367 	7,6279 	9016,3 
76,867 	7,6780 	9019,5 
77,367 	7,7279 	9022,7 
77,867 	7,7779 	9029,1 
78,367 	7,8281 	9025,9 
78,867 	7,8781 	9025,9 
79,367 	7,9281 	9029,1 
79,867 	7,9782 	9035,5 
80,367 	8,0281 	9035,5 
80,867 	8,0781 	9035,5 
81,367 	8,1282 	9032,3 
81,867 	8,1782 	9032,3 
82,367 	8,2281 	9032,3 
82,867 	8,2781 	9032,3 
83,367 	8,3281 	9032,3 
83,867 	8,3780 	9035,5 
84,367 	8,4280 	9029,1 
84,867 	8,4781 	9022,7 
85,367 	8,5279 	9019,5 
85,867 	8,5779 	9016,3 
86,367 	8,6280 	9013,1 
86,867 	8,6779 	9009,9 
87,367 	8,7279 	9000,3 
87,867 	8,7781 	8987,4 
88,367 	8,8280 	8971,4 
88,867 	8,8780 	8961,8 
89,367 	8,9281 	8949,0 
89,867 	8,9781 	8933,0 
90,367 	9,0280 	8920,1 
90,867 	9,0782 	8894,5 
91,367 	9,1282 	8862,4 
91,867 	9,1781 	8840,0 
92,367 	9,2281 	8808,0 
92,867 	9,2781 	8772,7 
93,367 	9,3280 	8737,4 
93,867 	9,3780 	8689,4 
94,367 	9,4281 	8638,1 
94,867 	9,4780 	8580,4 
95,367 	9,5279 	8525,9 
95,867 	9,5780 	8461,8 
96,367 	9,6279 	8391,3 
96,817 	9,6730 	8320,8 
97,267 	9,7181 	8250,2 
97,667 	9,7579 	8179,7 
98,033 	9,7947 	8109,2 
98,417 	9,8331 	8038,7 
98,767 	9,8681 	7968,2 
99,117 	9,9031 	7894,5 
99,467 	9,9380 	7823,9 
99,783 	9,9698 	7753,4 
100,07 	9,9981 	7682,9 
100,38 	10,030 	7612,4 
100,68 	10,060 	7541,9 
100,92 	10,083 	7471,4 
101,22 	10,113 	7397,7 
101,48 	10,140 	7327,1 
101,72 	10,163 	7256,6 
102,00 	10,191 	7182,9 
102,22 	10,213 	7109,2 
102,47 	10,238 	7038,7 
102,68 	10,260 	6968,2 
102,92 	10,283 	6894,4 
103,13 	10,305 	6820,7 
103,35 	10,326 	6747,0 
103,55 	10,346 	6676,5 
103,77 	10,368 	6602,8 
103,95 	10,386 	6529,0 
104,15 	10,406 	6458,5 
104,32 	10,423 	6384,8 
104,52 	10,443 	6311,1 
104,70 	10,461 	6234,2 
104,88 	10,480 	6160,4 
105,05 	10,496 	6089,9 
105,22 	10,513 	6013,0 
105,38 	10,530 	5942,5 
105,53 	10,545 	5872,0 
105,68 	10,560 	5801,5 
105,83 	10,575 	5730,9 
105,97 	10,588 	5657,2 
106,12 	10,603 	5583,5 
106,27 	10,618 	5513,0 
106,40 	10,631 	5436,1 
106,53 	10,645 	5362,3 
106,67 	10,658 	5291,8 
106,80 	10,671 	5214,9 
106,92 	10,683 	5141,2 
107,05 	10,696 	5067,5 
107,17 	10,708 	4993,7 
107,28 	10,720 	4916,8 
107,40 	10,731 	4839,9 
107,52 	10,743 	4763,0 
107,62 	10,753 	4692,4 
107,72 	10,763 	4615,5 
107,82 	10,773 	4545,0 
107,92 	10,783 	4474,5 
108,02 	10,793 	4397,6 
108,10 	10,801 	4320,6 
108,18 	10,810 	4246,9 
108,27 	10,818 	4173,2 
108,35 	10,826 	4093,1 
108,42 	10,833 	4003,3 
108,43 	10,835 	3198,8 
108,45 	10,836 	750,02 
