Tempo(s)	Deformacao(mm)	Forca(N)
1127,7 	9,3961 	8592,3 
1128,2 	9,4001 	8592,3 
1128,7 	9,4045 	8595,6 
1129,2 	9,4086 	8593,9 
1129,7 	9,4128 	8595,6 
1130,2 	9,4169 	8597,3 
1130,7 	9,4210 	8597,3 
1131,2 	9,4253 	8602,4 
1131,7 	9,4293 	8597,3 
1132,2 	9,4337 	8602,4 
1132,7 	9,4376 	8600,7 
1133,2 	9,4419 	8604,0 
1133,7 	9,4462 	8607,4 
1134,2 	9,4503 	8602,4 
1134,7 	9,4545 	8609,1 
1135,2 	9,4584 	8604,0 
1135,7 	9,4628 	8610,8 
1136,2 	9,4669 	8609,1 
1136,7 	9,4711 	8609,1 
1137,2 	9,4753 	8610,8 
1137,7 	9,4793 	8610,8 
1138,2 	9,4837 	8615,8 
1138,7 	9,4877 	8612,5 
1139,2 	9,4920 	8615,8 
1139,7 	9,4961 	8615,8 
1140,2 	9,5001 	8614,2 
1140,7 	9,5045 	8620,9 
1141,2 	9,5084 	8615,8 
1141,7 	9,5128 	8620,9 
1142,2 	9,5169 	8620,9 
1142,7 	9,5210 	8620,9 
1143,2 	9,5253 	8624,3 
1143,7 	9,5294 	8624,3 
1144,2 	9,5337 	8627,6 
1144,7 	9,5377 	8622,6 
1145,2 	9,5420 	8627,6 
1145,7 	9,5460 	8627,6 
1146,2 	9,5501 	8627,6 
1146,7 	9,5545 	8632,7 
1147,2 	9,5585 	8629,3 
1147,7 	9,5628 	8634,4 
1148,2 	9,5668 	8629,3 
1148,7 	9,5711 	8634,4 
1149,2 	9,5753 	8636,1 
1149,7 	9,5795 	8634,4 
1150,2 	9,5837 	8637,7 
1150,7 	9,5876 	8632,7 
1151,2 	9,5920 	8641,1 
1151,7 	9,5959 	8639,4 
1152,2 	9,6003 	8639,4 
1152,7 	9,6044 	8642,8 
1153,2 	9,6085 	8639,4 
1153,7 	9,6129 	8647,8 
1154,2 	9,6168 	8642,8 
1154,7 	9,6211 	8644,5 
1155,2 	9,6253 	8646,2 
1155,7 	9,6293 	8644,5 
1156,2 	9,6336 	8649,5 
1156,7 	9,6376 	8646,2 
1157,2 	9,6420 	8652,9 
1157,7 	9,6460 	8647,8 
1158,2 	9,6502 	8652,9 
1158,7 	9,6544 	8652,9 
1159,2 	9,6585 	8652,9 
1159,7 	9,6629 	8656,3 
1160,2 	9,6668 	8652,9 
1160,7 	9,6711 	8656,3 
1161,2 	9,6751 	8654,6 
1161,7 	9,6793 	8658,0 
1162,2 	9,6836 	8661,3 
1162,7 	9,6876 	8658,0 
1163,2 	9,6920 	8664,7 
1163,7 	9,6960 	8659,6 
1164,2 	9,7003 	8663,0 
1164,7 	9,7045 	8666,4 
1165,2 	9,7086 	8664,7 
1165,7 	9,7129 	8668,1 
1166,2 	9,7168 	8663,0 
1166,7 	9,7211 	8669,7 
1167,2 	9,7252 	8666,4 
1167,7 	9,7295 	8671,4 
1168,2 	9,7336 	8671,4 
1168,7 	9,7376 	8668,1 
1169,2 	9,7420 	8676,5 
1169,7 	9,7460 	8671,4 
1170,2 	9,7504 	8674,8 
1170,7 	9,7545 	8674,8 
1171,2 	9,7586 	8674,8 
1171,7 	9,7627 	8676,5 
1172,2 	9,7668 	8676,5 
1172,7 	9,7712 	8679,9 
1173,2 	9,7751 	8676,5 
1173,7 	9,7794 	8679,9 
1174,2 	9,7834 	8683,2 
1174,7 	9,7876 	8683,2 
1175,2 	9,7920 	8688,3 
1175,7 	9,7960 	8681,5 
1176,2 	9,8003 	8684,9 
1176,7 	9,8043 	8686,6 
1177,2 	9,8085 	8688,3 
1177,7 	9,8128 	8690,0 
1178,2 	9,8168 	8688,3 
1178,7 	9,8211 	8693,3 
1179,2 	9,8250 	8686,6 
1179,7 	9,8295 	8693,3 
1180,2 	9,8336 	8693,3 
1180,7 	9,8378 	8693,3 
1181,2 	9,8420 	8696,7 
1181,7 	9,8459 	8691,7 
1182,2 	9,8502 	8696,7 
1182,7 	9,8543 	8696,7 
1183,2 	9,8586 	8698,4 
1183,7 	9,8627 	8700,1 
1184,2 	9,8668 	8698,4 
1184,7 	9,8711 	8703,4 
1185,2 	9,8752 	8700,1 
1185,7 	9,8795 	8705,1 
1186,2 	9,8835 	8701,8 
1186,7 	9,8878 	8705,1 
1187,2 	9,8919 	8706,8 
1187,7 	9,8959 	8705,1 
1188,2 	9,9004 	8711,9 
1188,7 	9,9042 	8705,1 
1189,2 	9,9086 	8710,2 
1189,7 	9,9127 	8710,2 
1190,2 	9,9168 	8710,2 
1190,7 	9,9212 	8715,2 
1191,2 	9,9252 	8710,2 
1191,7 	9,9294 	8713,6 
1192,2 	9,9334 	8711,9 
1192,7 	9,9377 	8715,2 
1193,2 	9,9419 	8718,6 
1193,7 	9,9460 	8715,2 
1194,2 	9,9502 	8718,6 
1194,7 	9,9542 	8716,9 
1195,2 	9,9586 	8723,7 
1195,7 	9,9628 	8722,0 
1196,2 	9,9670 	8722,0 
1196,7 	9,9711 	8723,7 
1197,2 	9,9750 	8720,3 
1197,7 	9,9795 	8728,7 
1198,2 	9,9834 	8723,7 
1198,7 	9,9878 	8727,0 
1199,2 	9,9918 	8727,0 
1199,7 	9,9960 	8727,0 
1200,2 	10,000 	8730,4 
1200,7 	10,004 	8727,0 
1201,2 	10,009 	8732,1 
1201,7 	10,013 	8728,7 
1202,2 	10,017 	8732,1 
1202,7 	10,021 	8733,8 
1203,2 	10,025 	8732,1 
1203,7 	10,029 	8738,8 
1204,2 	10,033 	8733,8 
1204,7 	10,038 	8737,1 
1205,2 	10,042 	8737,1 
1205,7 	10,046 	8737,1 
1206,2 	10,050 	8742,2 
1206,7 	10,054 	8738,8 
1207,2 	10,059 	8742,2 
1207,7 	10,063 	8738,8 
1208,2 	10,067 	8745,6 
1208,7 	10,071 	8745,6 
1209,2 	10,075 	8743,9 
1209,7 	10,080 	8748,9 
1210,2 	10,083 	8743,9 
1210,7 	10,088 	8750,6 
1211,2 	10,092 	8750,6 
1211,7 	10,096 	8750,6 
1212,2 	10,100 	8750,6 
1212,7 	10,104 	8748,9 
1213,2 	10,109 	8754,0 
1213,7 	10,113 	8752,3 
1214,2 	10,117 	8755,7 
1214,7 	10,121 	8754,0 
1215,2 	10,125 	8754,0 
1215,7 	10,129 	8762,4 
1216,2 	10,133 	8757,4 
1216,7 	10,138 	8759,0 
1217,2 	10,142 	8759,0 
1217,7 	10,146 	8760,7 
1218,2 	10,150 	8760,7 
1218,7 	10,154 	8760,7 
1219,2 	10,159 	8765,8 
1219,7 	10,163 	8760,7 
1220,2 	10,167 	8767,5 
1220,7 	10,171 	8764,1 
1221,2 	10,175 	8765,8 
1221,7 	10,179 	8769,1 
1222,2 	10,184 	8765,8 
1222,7 	10,188 	8770,8 
1223,2 	10,192 	8765,8 
1223,7 	10,196 	8770,8 
1224,2 	10,200 	8772,5 
1224,7 	10,204 	8772,5 
1225,2 	10,209 	8775,9 
1225,7 	10,213 	8770,8 
1226,2 	10,217 	8777,6 
1226,7 	10,221 	8775,9 
1227,2 	10,225 	8777,6 
1227,7 	10,229 	8777,6 
1228,2 	10,233 	8775,9 
1228,7 	10,238 	8780,9 
1229,2 	10,242 	8777,6 
1229,7 	10,246 	8784,3 
1230,2 	10,250 	8779,3 
1230,7 	10,254 	8780,9 
1231,2 	10,259 	8786,0 
1231,7 	10,263 	8782,6 
1232,2 	10,267 	8787,7 
1232,7 	10,271 	8784,3 
1233,2 	10,275 	8786,0 
1233,7 	10,279 	8787,7 
1234,2 	10,283 	8787,7 
1234,7 	10,288 	8791,1 
1235,2 	10,292 	8787,7 
1235,7 	10,296 	8792,7 
1236,2 	10,300 	8791,1 
1236,7 	10,304 	8794,4 
1237,2 	10,309 	8796,1 
1237,7 	10,313 	8792,7 
1238,2 	10,317 	8797,8 
1238,7 	10,321 	8794,4 
1239,2 	10,325 	8797,8 
1239,7 	10,329 	8799,5 
1240,2 	10,334 	8797,8 
1240,7 	10,338 	8801,2 
1241,2 	10,342 	8799,5 
1241,7 	10,346 	8804,5 
1242,2 	10,350 	8801,2 
1242,7 	10,354 	8802,8 
1243,2 	10,359 	8804,5 
1243,7 	10,363 	8802,8 
1244,2 	10,367 	8807,9 
1244,7 	10,371 	8804,5 
1245,2 	10,375 	8809,6 
1245,7 	10,379 	8809,6 
1246,2 	10,384 	8809,6 
1246,7 	10,388 	8811,3 
1247,2 	10,392 	8811,3 
1247,7 	10,396 	8814,6 
1248,2 	10,400 	8811,3 
1248,7 	10,404 	8814,6 
1249,2 	10,408 	8813,0 
1249,7 	10,413 	8814,6 
1250,2 	10,417 	8819,7 
1250,7 	10,421 	8814,6 
1251,2 	10,425 	8819,7 
1251,7 	10,429 	8816,3 
1252,2 	10,434 	8819,7 
1252,7 	10,438 	8821,4 
1253,2 	10,442 	8821,4 
1253,7 	10,446 	8823,1 
1254,2 	10,450 	8818,0 
1254,7 	10,454 	8824,7 
1255,2 	10,458 	8824,7 
1255,7 	10,463 	8824,7 
1256,2 	10,467 	8826,4 
1256,7 	10,471 	8823,1 
1257,2 	10,475 	8833,2 
1257,7 	10,479 	8828,1 
1258,2 	10,484 	8829,8 
1258,7 	10,488 	8831,5 
1259,2 	10,492 	8829,8 
1259,7 	10,496 	8834,9 
1260,2 	10,500 	8831,5 
1260,7 	10,504 	8836,5 
1261,2 	10,508 	8833,2 
1261,7 	10,513 	8836,5 
1262,2 	10,517 	8838,2 
1262,7 	10,521 	8836,5 
1263,2 	10,525 	8839,9 
1263,7 	10,529 	8836,5 
1264,2 	10,534 	8838,2 
1264,7 	10,538 	8838,2 
1265,2 	10,542 	8839,9 
1265,7 	10,546 	8845,0 
1266,2 	10,550 	8841,6 
1266,7 	10,554 	8846,6 
1267,2 	10,558 	8841,6 
1267,7 	10,563 	8845,0 
1268,2 	10,567 	8848,3 
1268,7 	10,571 	8846,6 
1269,2 	10,575 	8850,0 
1269,7 	10,579 	8845,0 
1270,2 	10,584 	8851,7 
1270,7 	10,588 	8848,3 
1271,2 	10,592 	8850,0 
1271,7 	10,596 	8851,7 
1272,2 	10,600 	8848,3 
1272,7 	10,604 	8856,8 
1273,2 	10,608 	8851,7 
1273,7 	10,613 	8853,4 
1274,2 	10,617 	8856,8 
1274,7 	10,621 	8853,4 
1275,2 	10,625 	8856,8 
1275,7 	10,629 	8856,8 
1276,2 	10,634 	8861,8 
1276,7 	10,638 	8856,8 
1277,2 	10,642 	8860,1 
1277,7 	10,646 	8863,5 
1278,2 	10,650 	8861,8 
1278,7 	10,655 	8866,9 
1279,2 	10,658 	8860,1 
1279,7 	10,663 	8863,5 
1280,2 	10,667 	8863,5 
1280,7 	10,671 	8865,2 
1281,2 	10,675 	8866,9 
1281,7 	10,679 	8866,9 
1282,2 	10,684 	8870,2 
1282,7 	10,688 	8865,2 
1283,2 	10,692 	8871,9 
1283,7 	10,696 	8871,9 
1284,2 	10,700 	8870,2 
1284,7 	10,705 	8873,6 
1285,2 	10,708 	8870,2 
1285,7 	10,713 	8875,3 
1286,2 	10,717 	8873,6 
1286,7 	10,721 	8875,3 
1287,2 	10,725 	8873,6 
1287,7 	10,729 	8875,3 
1288,2 	10,734 	8880,3 
1288,7 	10,738 	8877,0 
1289,2 	10,742 	8880,3 
1289,7 	10,746 	8878,7 
1290,2 	10,750 	8880,3 
1290,7 	10,754 	8882,0 
1291,2 	10,758 	8878,7 
1291,7 	10,763 	8887,1 
1292,2 	10,767 	8882,0 
1292,7 	10,771 	8883,7 
1293,2 	10,775 	8883,7 
1293,7 	10,779 	8885,4 
1294,2 	10,784 	8890,5 
1294,7 	10,788 	8883,7 
1295,2 	10,792 	8888,8 
1295,7 	10,796 	8887,1 
1296,2 	10,800 	8890,5 
1296,7 	10,804 	8892,1 
1297,2 	10,808 	8890,5 
1297,7 	10,813 	8892,1 
1298,2 	10,817 	8890,5 
1298,7 	10,821 	8897,2 
1299,2 	10,825 	8895,5 
1299,7 	10,829 	8893,8 
1300,2 	10,834 	8897,2 
1300,7 	10,838 	8892,1 
1301,2 	10,842 	8898,9 
1301,7 	10,846 	8897,2 
1302,2 	10,850 	8898,9 
1302,7 	10,854 	8898,9 
1303,2 	10,858 	8898,9 
1303,7 	10,863 	8903,9 
1304,2 	10,867 	8900,6 
1304,7 	10,871 	8902,2 
1305,2 	10,875 	8900,6 
1305,7 	10,879 	8902,2 
1306,2 	10,884 	8903,9 
1306,7 	10,888 	8903,9 
1307,2 	10,892 	8909,0 
1307,7 	10,896 	8905,6 
1308,2 	10,900 	8907,3 
1308,7 	10,904 	8909,0 
1309,2 	10,908 	8909,0 
1309,7 	10,913 	8914,0 
1310,2 	10,917 	8910,7 
1310,7 	10,921 	8912,4 
1311,2 	10,925 	8910,7 
1311,7 	10,929 	8915,7 
1312,2 	10,933 	8915,7 
1312,7 	10,938 	8914,0 
1313,2 	10,942 	8919,1 
1313,7 	10,946 	8914,0 
1314,2 	10,950 	8919,1 
1314,7 	10,954 	8919,1 
1315,2 	10,959 	8919,1 
1315,7 	10,963 	8919,1 
1316,2 	10,967 	8919,1 
1316,7 	10,971 	8922,5 
1317,2 	10,975 	8920,8 
1317,7 	10,979 	8924,1 
1318,2 	10,983 	8924,1 
1318,7 	10,988 	8922,5 
1319,2 	10,992 	8930,9 
1319,7 	10,996 	8924,1 
1320,2 	11,000 	8927,5 
1320,7 	11,004 	8925,8 
1321,2 	11,008 	8927,5 
1321,7 	11,013 	8929,2 
1322,2 	11,017 	8927,5 
1322,7 	11,021 	8932,6 
1323,2 	11,025 	8927,5 
1323,7 	11,029 	8934,3 
1324,2 	11,033 	8930,9 
1324,7 	11,038 	8932,6 
1325,2 	11,042 	8937,6 
1325,7 	11,046 	8932,6 
1326,2 	11,050 	8937,6 
1326,7 	11,054 	8934,3 
1327,2 	11,058 	8935,9 
1327,7 	11,063 	8939,3 
1328,2 	11,067 	8937,6 
1328,7 	11,071 	8941,0 
1329,2 	11,075 	8937,6 
1329,7 	11,079 	8944,4 
1330,2 	11,083 	8941,0 
1330,7 	11,088 	8942,7 
1331,2 	11,092 	8944,4 
1331,7 	11,096 	8941,0 
1332,2 	11,100 	8946,0 
1332,7 	11,104 	8944,4 
1333,2 	11,109 	8947,7 
1333,7 	11,113 	8944,4 
1334,2 	11,117 	8946,0 
1334,7 	11,121 	8949,4 
1335,2 	11,125 	8944,4 
1335,7 	11,130 	8951,1 
1336,2 	11,133 	8947,7 
1336,7 	11,138 	8949,4 
1337,2 	11,142 	8951,1 
1337,7 	11,146 	8951,1 
1338,2 	11,150 	8954,5 
1338,7 	11,154 	8949,4 
1339,2 	11,159 	8956,2 
1339,7 	11,162 	8952,8 
1340,2 	11,167 	8956,2 
1340,7 	11,171 	8959,5 
1341,2 	11,175 	8954,5 
1341,7 	11,179 	8959,5 
1342,2 	11,183 	8956,2 
1342,7 	11,188 	8959,5 
1343,2 	11,192 	8962,9 
1343,7 	11,196 	8961,2 
1344,2 	11,200 	8962,9 
1344,7 	11,204 	8959,5 
1345,2 	11,209 	8964,6 
1345,7 	11,213 	8962,9 
1346,2 	11,217 	8964,6 
1346,7 	11,221 	8964,6 
1347,2 	11,225 	8962,9 
1347,7 	11,229 	8969,6 
1348,2 	11,233 	8964,6 
1348,7 	11,238 	8968,0 
1349,2 	11,242 	8969,6 
1349,7 	11,246 	8968,0 
1350,2 	11,250 	8971,3 
1350,7 	11,254 	8968,0 
1351,2 	11,259 	8973,0 
1351,7 	11,263 	8969,6 
1352,2 	11,267 	8973,0 
1352,7 	11,271 	8973,0 
1353,2 	11,275 	8973,0 
1353,7 	11,280 	8979,7 
1354,2 	11,283 	8973,0 
1354,7 	11,288 	8978,1 
1355,2 	11,292 	8976,4 
1355,7 	11,296 	8978,1 
1356,2 	11,300 	8979,7 
1356,7 	11,304 	8978,1 
1357,2 	11,309 	8981,4 
1357,7 	11,312 	8976,4 
1358,2 	11,317 	8983,1 
1358,7 	11,321 	8981,4 
1359,2 	11,325 	8981,4 
1359,7 	11,329 	8984,8 
1360,2 	11,333 	8981,4 
1360,7 	11,338 	8989,9 
1361,2 	11,342 	8986,5 
1361,7 	11,346 	8984,8 
1362,2 	11,350 	8986,5 
1362,7 	11,354 	8984,8 
1363,2 	11,359 	8989,9 
1363,7 	11,363 	8986,5 
1364,2 	11,367 	8991,5 
1364,7 	11,371 	8988,2 
1365,2 	11,375 	8991,5 
1365,7 	11,379 	8991,5 
1366,2 	11,383 	8989,9 
1366,7 	11,388 	8994,9 
1367,2 	11,392 	8991,5 
1367,7 	11,396 	8993,2 
1368,2 	11,400 	8993,2 
1368,7 	11,404 	8994,9 
1369,2 	11,409 	8998,3 
1369,7 	11,413 	8993,2 
1370,2 	11,417 	9000,0 
1370,7 	11,421 	8996,6 
1371,2 	11,425 	8998,3 
1371,7 	11,429 	9003,3 
1372,2 	11,433 	9000,0 
1372,7 	11,438 	9003,3 
1373,2 	11,442 	8998,3 
1373,7 	11,446 	9005,0 
1374,2 	11,450 	9003,3 
1374,7 	11,454 	9005,0 
1375,2 	11,459 	9006,7 
1375,7 	11,462 	9003,3 
1376,2 	11,467 	9010,1 
1376,7 	11,471 	9006,7 
1377,2 	11,475 	9006,7 
1377,7 	11,479 	9008,4 
1378,2 	11,483 	9006,7 
1378,7 	11,488 	9010,1 
1379,2 	11,492 	9008,4 
1379,7 	11,496 	9011,8 
1380,2 	11,500 	9008,4 
1380,7 	11,504 	9011,8 
1381,2 	11,508 	9015,1 
1381,7 	11,513 	9011,8 
1382,2 	11,517 	9016,8 
1382,7 	11,521 	9011,8 
1383,2 	11,525 	9015,1 
1383,7 	11,529 	9016,8 
1384,2 	11,533 	9016,8 
1384,7 	11,538 	9020,2 
1385,2 	11,542 	9016,8 
1385,7 	11,546 	9020,2 
1386,2 	11,550 	9016,8 
1386,7 	11,554 	9021,9 
1387,2 	11,559 	9021,9 
1387,7 	11,563 	9020,2 
1388,2 	11,567 	9023,5 
1388,7 	11,571 	9020,2 
1389,2 	11,575 	9025,2 
1389,7 	11,579 	9025,2 
1390,2 	11,583 	9025,2 
1390,7 	11,588 	9026,9 
1391,2 	11,592 	9025,2 
1391,7 	11,596 	9028,6 
1392,2 	11,600 	9025,2 
1392,7 	11,604 	9028,6 
1393,2 	11,609 	9026,9 
1393,7 	11,613 	9026,9 
1394,2 	11,617 	9032,0 
1394,7 	11,621 	9028,6 
1395,2 	11,625 	9035,3 
1395,7 	11,629 	9030,3 
1396,2 	11,633 	9032,0 
1396,7 	11,638 	9035,3 
1397,2 	11,642 	9033,7 
1397,7 	11,646 	9037,0 
1398,2 	11,650 	9032,0 
1398,7 	11,654 	9033,7 
1399,2 	11,658 	9035,3 
1399,7 	11,663 	9035,3 
1400,2 	11,667 	9038,7 
1400,7 	11,671 	9035,3 
1401,2 	11,675 	9038,7 
1401,7 	11,679 	9037,0 
1402,2 	11,684 	9042,1 
1402,7 	11,688 	9042,1 
1403,2 	11,692 	9040,4 
1403,7 	11,696 	9042,1 
1404,2 	11,700 	9038,7 
1404,7 	11,704 	9045,4 
1405,2 	11,708 	9043,8 
1405,7 	11,713 	9045,4 
1406,2 	11,717 	9045,4 
1406,7 	11,721 	9042,1 
1407,2 	11,725 	9048,8 
1407,7 	11,729 	9045,4 
1408,2 	11,734 	9047,1 
1408,7 	11,738 	9047,1 
1409,2 	11,742 	9047,1 
1409,7 	11,746 	9048,8 
1410,2 	11,750 	9047,1 
1410,7 	11,754 	9052,2 
1411,2 	11,758 	9050,5 
1411,7 	11,763 	9052,2 
1412,2 	11,767 	9053,9 
1412,7 	11,771 	9052,2 
1413,2 	11,775 	9057,2 
1413,7 	11,779 	9052,2 
1414,2 	11,784 	9055,6 
1414,7 	11,788 	9052,2 
1415,2 	11,792 	9055,6 
1415,7 	11,796 	9058,9 
1416,2 	11,800 	9055,6 
1416,7 	11,804 	9060,6 
1417,2 	11,808 	9055,6 
1417,7 	11,813 	9058,9 
1418,2 	11,817 	9060,6 
1418,7 	11,821 	9058,9 
1419,2 	11,825 	9060,6 
1419,7 	11,829 	9057,2 
1420,2 	11,834 	9064,0 
1420,7 	11,838 	9062,3 
1421,2 	11,842 	9062,3 
1421,7 	11,846 	9062,3 
1422,2 	11,850 	9060,6 
1422,7 	11,854 	9070,7 
1423,2 	11,858 	9064,0 
1423,7 	11,863 	9065,7 
1424,2 	11,867 	9067,4 
1424,7 	11,871 	9065,7 
1425,2 	11,875 	9067,4 
1425,7 	11,879 	9067,4 
1426,2 	11,884 	9072,4 
1426,7 	11,888 	9065,7 
1427,2 	11,892 	9070,7 
1427,7 	11,896 	9070,7 
1428,2 	11,900 	9070,7 
1428,7 	11,904 	9074,1 
1429,2 	11,908 	9069,0 
1429,7 	11,913 	9072,4 
1430,2 	11,917 	9070,7 
1430,7 	11,921 	9072,4 
1431,2 	11,925 	9075,8 
1431,7 	11,929 	9074,1 
1432,2 	11,934 	9077,5 
1432,7 	11,938 	9072,4 
1433,2 	11,942 	9077,5 
1433,7 	11,946 	9077,5 
1434,2 	11,950 	9077,5 
1434,7 	11,954 	9079,1 
1435,2 	11,958 	9075,8 
1435,7 	11,963 	9080,8 
1436,2 	11,967 	9077,5 
1436,7 	11,971 	9082,5 
1437,2 	11,975 	9080,8 
1437,7 	11,979 	9080,8 
1438,2 	11,984 	9084,2 
1438,7 	11,988 	9080,8 
1439,2 	11,992 	9085,9 
1439,7 	11,996 	9084,2 
1440,2 	12,000 	9082,5 
1440,7 	12,004 	9085,9 
1441,2 	12,008 	9085,9 
1441,7 	12,013 	9089,3 
1442,2 	12,017 	9084,2 
1442,7 	12,021 	9089,3 
1443,2 	12,025 	9087,6 
1443,7 	12,029 	9090,9 
1444,2 	12,034 	9092,6 
1444,7 	12,038 	9085,9 
1445,2 	12,042 	9092,6 
1445,7 	12,046 	9089,3 
1446,2 	12,050 	9092,6 
1446,7 	12,054 	9094,3 
1447,2 	12,058 	9092,6 
1447,7 	12,063 	9096,0 
1448,2 	12,067 	9090,9 
1448,7 	12,071 	9096,0 
1449,2 	12,075 	9094,3 
1449,7 	12,079 	9096,0 
1450,2 	12,084 	9096,0 
1450,7 	12,088 	9094,3 
1451,2 	12,092 	9099,4 
1451,7 	12,096 	9096,0 
1452,2 	12,100 	9099,4 
1452,7 	12,104 	9099,4 
1453,2 	12,108 	9099,4 
1453,7 	12,113 	9101,0 
1454,2 	12,117 	9101,0 
1454,7 	12,121 	9104,4 
1455,2 	12,125 	9101,0 
1455,7 	12,129 	9102,7 
1456,2 	12,133 	9102,7 
1456,7 	12,138 	9101,0 
1457,2 	12,142 	9107,8 
1457,7 	12,146 	9101,0 
1458,2 	12,150 	9106,1 
1458,7 	12,154 	9106,1 
1459,2 	12,158 	9106,1 
1459,7 	12,163 	9109,5 
1460,2 	12,167 	9106,1 
1460,7 	12,171 	9109,5 
1461,2 	12,175 	9104,4 
1461,7 	12,179 	9111,2 
1462,2 	12,183 	9111,2 
1462,7 	12,188 	9109,5 
1463,2 	12,192 	9112,8 
1463,7 	12,196 	9107,8 
1464,2 	12,200 	9116,2 
1464,7 	12,204 	9114,5 
1465,2 	12,209 	9111,2 
1465,7 	12,213 	9114,5 
1466,2 	12,217 	9111,2 
1466,7 	12,221 	9117,9 
1467,2 	12,225 	9111,2 
1467,7 	12,229 	9117,9 
1468,2 	12,233 	9116,2 
1468,7 	12,238 	9116,2 
1469,2 	12,242 	9119,6 
1469,7 	12,246 	9116,2 
1470,2 	12,250 	9119,6 
1470,7 	12,254 	9117,9 
1471,2 	12,259 	9117,9 
1471,7 	12,263 	9119,6 
1472,2 	12,267 	9119,6 
1472,7 	12,271 	9122,9 
1473,2 	12,275 	9119,6 
1473,7 	12,279 	9124,6 
1474,2 	12,283 	9122,9 
1474,7 	12,288 	9122,9 
1475,2 	12,292 	9128,0 
1475,7 	12,296 	9122,9 
1476,2 	12,300 	9128,0 
1476,7 	12,304 	9121,3 
1477,2 	12,308 	9126,3 
1477,7 	12,313 	9126,3 
1478,2 	12,317 	9126,3 
1478,7 	12,321 	9128,0 
1479,2 	12,325 	9122,9 
1479,7 	12,329 	9131,4 
1480,2 	12,333 	9128,0 
1480,7 	12,338 	9128,0 
1481,2 	12,342 	9129,7 
1481,7 	12,346 	9128,0 
1482,2 	12,350 	9131,4 
1482,7 	12,354 	9131,4 
1483,2 	12,359 	9133,1 
1483,7 	12,363 	9129,7 
1484,2 	12,367 	9133,1 
1484,7 	12,371 	9136,4 
1485,2 	12,375 	9133,1 
1485,7 	12,379 	9136,4 
1486,2 	12,383 	9131,4 
1486,7 	12,388 	9134,7 
1487,2 	12,392 	9136,4 
1487,7 	12,396 	9134,7 
1488,2 	12,400 	9138,1 
1488,7 	12,404 	9134,7 
1489,2 	12,409 	9139,8 
1489,7 	12,413 	9136,4 
1490,2 	12,417 	9139,8 
1490,7 	12,421 	9141,5 
1491,2 	12,425 	9138,1 
1491,7 	12,429 	9141,5 
1492,2 	12,433 	9136,4 
1492,7 	12,438 	9141,5 
1493,2 	12,442 	9141,5 
1493,7 	12,446 	9143,2 
1494,2 	12,450 	9143,2 
1494,7 	12,454 	9141,5 
1495,2 	12,459 	9144,8 
1495,7 	12,463 	9143,2 
1496,2 	12,467 	9144,8 
1496,7 	12,471 	9144,8 
1497,2 	12,475 	9143,2 
1497,7 	12,479 	9148,2 
1498,2 	12,483 	9143,2 
1498,7 	12,488 	9149,9 
1499,2 	12,492 	9144,8 
1499,7 	12,496 	9146,5 
1500,2 	12,500 	9148,2 
1500,7 	12,504 	9146,5 
1501,2 	12,509 	9151,6 
1501,7 	12,513 	9146,5 
1502,2 	12,517 	9148,2 
1502,7 	12,521 	9148,2 
1503,2 	12,525 	9149,9 
1503,7 	12,529 	9153,3 
1504,2 	12,533 	9148,2 
1504,7 	12,538 	9155,0 
1505,2 	12,542 	9151,6 
1505,7 	12,546 	9155,0 
1506,2 	12,550 	9156,6 
1506,7 	12,554 	9153,3 
1507,2 	12,559 	9156,6 
1507,7 	12,562 	9151,6 
1508,2 	12,567 	9158,3 
1508,7 	12,571 	9156,6 
1509,2 	12,575 	9156,6 
1509,7 	12,579 	9158,3 
1510,2 	12,583 	9156,6 
1510,7 	12,588 	9160,0 
1511,2 	12,592 	9156,6 
1511,7 	12,596 	9160,0 
1512,2 	12,600 	9158,3 
1512,7 	12,604 	9158,3 
1513,2 	12,609 	9161,7 
1513,7 	12,612 	9158,3 
1514,2 	12,617 	9163,4 
1514,7 	12,621 	9161,7 
1515,2 	12,625 	9161,7 
1515,7 	12,629 	9163,4 
1516,2 	12,633 	9161,7 
1516,7 	12,638 	9166,8 
1517,2 	12,642 	9161,7 
1517,7 	12,646 	9165,1 
1518,2 	12,650 	9163,4 
1518,7 	12,654 	9165,1 
1519,2 	12,658 	9168,4 
1519,7 	12,663 	9165,1 
1520,2 	12,667 	9168,4 
1520,7 	12,671 	9165,1 
1521,2 	12,675 	9168,4 
1521,7 	12,679 	9170,1 
1522,2 	12,684 	9166,8 
1522,7 	12,688 	9170,1 
1523,2 	12,692 	9166,8 
1523,7 	12,696 	9171,8 
1524,2 	12,700 	9170,1 
1524,7 	12,704 	9171,8 
1525,2 	12,708 	9171,8 
1525,7 	12,713 	9170,1 
1526,2 	12,717 	9178,5 
1526,7 	12,721 	9171,8 
1527,2 	12,725 	9173,5 
1527,7 	12,729 	9173,5 
1528,2 	12,733 	9171,8 
1528,7 	12,738 	9175,2 
1529,2 	12,742 	9171,8 
1529,7 	12,746 	9176,9 
1530,2 	12,750 	9173,5 
1530,7 	12,754 	9176,9 
1531,2 	12,758 	9176,9 
1531,7 	12,763 	9175,2 
1532,2 	12,767 	9178,5 
1532,7 	12,771 	9175,2 
1533,2 	12,775 	9176,9 
1533,7 	12,779 	9176,9 
